-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	
-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	0.67	0.60	0.60	0.67	0.66	0.63	0.63	0.66	0.83	-1.00	
-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	0.67	0.60	0.60	0.67	0.65	0.62	0.62	0.65	0.82	-1.00	
-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	0.67	0.60	0.61	0.68	0.66	0.63	0.63	0.67	0.84	-1.00	
-1.00	-1.00	-1.00	-1.00	-1.00	0.89	0.66	0.60	0.61	0.69	0.67	0.65	0.64	0.69	0.89	-1.00	
-1.00	-1.00	-1.00	-1.00	-1.00	0.84	0.64	0.60	0.61	0.72	0.69	0.67	0.66	0.73	0.95	-1.00	
-1.00	-1.00	-1.00	-1.00	-1.00	0.80	0.62	0.59	0.62	0.75	0.70	0.70	0.69	0.77	-1.00	-1.00	
-1.00	-1.00	-1.00	-1.00	-1.00	0.76	0.61	0.58	0.62	0.78	0.71	0.72	0.71	0.82	-1.00	-1.00	
-1.00	-1.00	-1.00	-1.00	-1.00	0.72	0.59	0.57	0.61	0.82	0.74	0.75	0.75	0.88	-1.00	-1.00	
-1.00	-1.00	-1.00	-1.00	-1.00	0.68	0.57	0.56	0.62	0.83	0.75	0.77	0.78	0.94	-1.00	-1.00	
-1.00	-1.00	-1.00	-1.00	-1.00	0.65	0.56	0.55	0.62	0.83	0.78	0.79	0.82	-1.00	-1.00	-1.00	
-1.00	-1.00	-1.00	-1.00	0.86	0.63	0.54	0.55	0.62	0.84	0.81	0.80	0.85	-1.00	-1.00	-1.00	
-1.00	-1.00	-1.00	-1.00	0.80	0.60	0.53	0.54	0.63	0.85	0.83	0.82	0.89	-1.00	-1.00	-1.00	
-1.00	-1.00	-1.00	-1.00	0.74	0.57	0.52	0.54	0.64	0.86	0.86	0.85	0.95	-1.00	-1.00	-1.00	
-1.00	-1.00	-1.00	-1.00	0.69	0.55	0.51	0.54	0.64	0.87	0.89	0.87	-1.00	-1.00	-1.00	-1.00	
-1.00	-1.00	-1.00	-1.00	0.65	0.52	0.50	0.53	0.65	0.89	0.91	0.90	-1.00	-1.00	-1.00	-1.00	
